variant,params_m,trainable_params_m,flops_g,peak_vram_gb,latency_ms_mean,latency_ms_std
unimodal_text,1.2923,1.2923,0.0005,0.0128,0.4421,0.012
unimodal_audio,1.2923,1.2923,0.0005,0.0176,0.4444,0.0103
unimodal_video,1.4889,1.4889,0.0007,0.0183,0.5191,0.0574
gated_fusion,2.081,2.081,0.0013,0.0261,0.9171,0.0098
cross_attn_fusion,4.054,4.054,0.0037,0.0231,2.2954,0.0375
lmf_fusion,1.1702,1.1702,0.0004,0.0274,1.0355,0.1056
low_rank_gating_fusion,1.1585,1.1585,0.0004,0.0274,1.0091,0.1442
mmoex_core,1.0619,1.0619,0.0011,0.027,0.2865,0.0047
ggmoe_V0,0.6671,0.6671,0.0007,0.0255,0.2595,0.0049
ggmoe_V1,0.7005,0.7005,0.0007,0.0257,1.1886,0.0767
ggmoe_V2,0.7653,0.7653,0.0008,0.0259,1.0844,0.0223
ggmoe_V3,0.7005,0.7005,0.0007,0.0257,1.1902,0.0277
ggmoe_V4,0.7005,0.7005,0.0007,0.0257,1.2035,0.0903
L0,3.019,3.019,0.0013,0.0343,0.8328,0.0091
L1,5.9707,5.9707,0.0021,0.0302,1.0836,0.0509
L2,5.9707,5.9707,0.0021,0.0302,1.0746,0.0212
L3,5.7741,5.7741,0.0021,0.0295,1.0496,0.0084
L4,8.5266,8.5266,0.0021,0.0398,1.3629,0.0382
L5,8.33,8.33,0.0021,0.039,1.4087,0.1771
