variant,type,has_moe,entropy,collapse,experts_active,expert_cv
V0,ggmoe,True,2.069516590056355,0,8,0.09899114729411898
V1,ggmoe,True,2.0594673110376016,0,8,0.1095462827873287
V2,ggmoe,True,2.0715245166366563,0,8,0.07864241030968126
V3,ggmoe,True,2.0732540112549924,0,8,0.0826017995536695
V4,ggmoe,True,2.0676823719389468,0,8,0.12776464594821085
L1,llm,True,2.0776595259718222,0,8,0.030125578469963537
L2,llm,True,2.0785358118375337,0,8,0.026288033391744813
L3,llm,True,2.0783611091021337,0,8,0.025784439457378162
L4,llm,True,2.077716804779824,0,8,0.03426855672800228
L5,llm,True,2.0773964103564753,0,8,0.041588352511418604
