dataset,modality,metric,value,ci_lower,ci_upper,beats_trivial,trivial_value
daic,audio,AUROC,0.4686,0.2863,0.6516,False,0.7196
daic,audio,Accuracy,0.5319,0.4043,0.6809,False,0.7196
daic,audio,F1,0.2143,0.0,0.4211,False,0.7196
daic,text,AUROC,0.697,0.5378,0.842,True,0.7196
daic,text,Accuracy,0.7021,0.5745,0.8298,True,0.7196
daic,text,F1,0.125,0.0,0.3639,True,0.7196
daic,video,AUROC,0.526,0.3054,0.7372,True,0.7196
daic,video,Accuracy,0.6383,0.5106,0.766,True,0.7196
daic,video,F1,0.1905,0.0,0.4167,True,0.7196
fi,audio,CCC_extraversion,0.4792,0.4483,0.5076,True,0.1234
fi,audio,MAE_extraversion,0.1013,0.0982,0.1047,True,0.1234
fi,audio,CCC_neuroticism,0.4847,0.4544,0.5144,True,0.1247
fi,audio,MAE_neuroticism,0.1017,0.0985,0.1051,True,0.1247
fi,audio,CCC_agreeableness,0.3195,0.2821,0.3517,True,0.1095
fi,audio,MAE_agreeableness,0.0955,0.0922,0.0986,True,0.1095
fi,audio,CCC_conscientiousness,0.4918,0.4632,0.5188,True,0.128
fi,audio,MAE_conscientiousness,0.104,0.1005,0.1077,True,0.128
fi,audio,CCC_openness,0.463,0.432,0.4941,True,0.1176
fi,audio,MAE_openness,0.0981,0.0947,0.1015,True,0.1176
fi,audio,Avg_CCC,0.4476,0.3976,0.4976,True,0
fi,text,CCC_extraversion,0.1977,0.1669,0.229,True,0.1231
fi,text,MAE_extraversion,0.1152,0.1115,0.1189,True,0.1231
fi,text,CCC_neuroticism,0.2318,0.2016,0.2615,True,0.124
fi,text,MAE_neuroticism,0.1132,0.1093,0.1168,True,0.124
fi,text,CCC_agreeableness,0.1573,0.1248,0.1869,True,0.1095
fi,text,MAE_agreeableness,0.0993,0.0958,0.1027,True,0.1095
fi,text,CCC_conscientiousness,0.3129,0.2839,0.3458,True,0.127
fi,text,MAE_conscientiousness,0.1138,0.11,0.1177,True,0.127
fi,text,CCC_openness,0.1786,0.1473,0.2083,True,0.1176
fi,text,MAE_openness,0.1116,0.1078,0.1151,True,0.1176
fi,text,Avg_CCC,0.2157,0.1657,0.2657,True,0
fi,video,CCC_extraversion,0.4667,0.4309,0.497,True,0.1234
fi,video,MAE_extraversion,0.1041,0.1007,0.1075,True,0.1234
fi,video,CCC_neuroticism,0.4402,0.4061,0.4691,True,0.1247
fi,video,MAE_neuroticism,0.1068,0.1033,0.1103,True,0.1247
fi,video,CCC_agreeableness,0.3181,0.2801,0.3538,True,0.1095
fi,video,MAE_agreeableness,0.0972,0.0939,0.1007,True,0.1095
fi,video,CCC_conscientiousness,0.6095,0.5787,0.6339,True,0.128
fi,video,MAE_conscientiousness,0.0952,0.092,0.0986,True,0.128
fi,video,CCC_openness,0.4546,0.4216,0.4852,True,0.1176
fi,video,MAE_openness,0.1018,0.0983,0.1053,True,0.1176
fi,video,Avg_CCC,0.4578,0.4078,0.5078,True,0
mosei,audio,CCC,0.1472,0.1318,0.1638,True,0.8609
mosei,audio,MAE,0.8399,0.8185,0.861,True,0.8609
mosei,audio,R2,0.0625,0.0462,0.0799,True,0.8609
mosei,text,CCC,0.5123,0.4943,0.5295,True,0.8489
mosei,text,MAE,0.6981,0.6819,0.7151,True,0.8489
mosei,text,R2,0.3357,0.3123,0.3594,True,0.8489
mosei,video,CCC,0.141,0.1256,0.1563,True,0.8502
mosei,video,MAE,0.8226,0.8019,0.8422,True,0.8502
mosei,video,R2,0.0595,0.0422,0.0759,True,0.8502
