dataset,modality,metric,value,ci_lower,ci_upper,beats_trivial,trivial_value
daic,text,AUROC,0.5346,0.3496,0.7121,True,0.7196
daic,text,Accuracy,0.7021,0.5745,0.8298,True,0.7196
daic,text,F1,0.0,0.0,0.0,True,0.7196
daic,audio,AUROC,0.4686,0.2863,0.6516,False,0.7196
daic,audio,Accuracy,0.5319,0.4043,0.6809,False,0.7196
daic,audio,F1,0.2143,0.0,0.4211,False,0.7196
daic,video,AUROC,0.5823,0.3725,0.7854,True,0.7196
daic,video,Accuracy,0.7021,0.5745,0.8298,True,0.7196
daic,video,F1,0.4167,0.125,0.6429,True,0.7196
mosei,text,CCC,0.5123,0.4943,0.5295,True,0.8489
mosei,text,MAE,0.6981,0.6819,0.7151,True,0.8489
mosei,text,R2,0.3357,0.3123,0.3594,True,0.8489
mosei_emotion,text,CCC_happiness,0.2295,0.2111,0.2469,True,0.3903
mosei_emotion,text,MAE_happiness,0.3476,0.3396,0.3552,True,0.3903
mosei_emotion,text,CCC_sadness,0.214,0.1955,0.2335,True,0.1453
mosei_emotion,text,MAE_sadness,0.1293,0.1263,0.1326,True,0.1453
mosei_emotion,text,CCC_anger,0.271,0.2491,0.2942,True,0.1829
mosei_emotion,text,MAE_anger,0.1666,0.1619,0.1717,True,0.1829
mosei_emotion,text,CCC_fear,0.1553,0.1371,0.1743,True,0.0512
mosei_emotion,text,MAE_fear,0.0454,0.0442,0.0467,True,0.0512
mosei_emotion,text,CCC_disgust,0.4164,0.3954,0.4373,True,0.1422
mosei_emotion,text,MAE_disgust,0.1153,0.1116,0.1189,True,0.1422
mosei_emotion,text,CCC_surprise,0.0986,0.0828,0.1169,False,0.0534
mosei_emotion,text,MAE_surprise,0.0546,0.0527,0.0567,False,0.0534
mosei_emotion,text,Avg_CCC,0.2308,0.1808,0.2808,True,0
mosei,audio,CCC,0.1472,0.1318,0.1638,True,0.8609
mosei,audio,MAE,0.8399,0.8185,0.861,True,0.8609
mosei,audio,R2,0.0625,0.0462,0.0799,True,0.8609
mosei_emotion,audio,CCC_happiness,0.293,0.2718,0.3131,True,0.389
mosei_emotion,audio,MAE_happiness,0.3381,0.3304,0.3459,True,0.389
mosei_emotion,audio,CCC_sadness,0.2213,0.1995,0.2432,True,0.1444
mosei_emotion,audio,MAE_sadness,0.1269,0.1233,0.1305,True,0.1444
mosei_emotion,audio,CCC_anger,0.1269,0.1066,0.1468,True,0.1849
mosei_emotion,audio,MAE_anger,0.1807,0.1752,0.1858,True,0.1849
mosei_emotion,audio,CCC_fear,0.0884,0.0715,0.1057,True,0.0511
mosei_emotion,audio,MAE_fear,0.0461,0.0448,0.0474,True,0.0511
mosei_emotion,audio,CCC_disgust,0.2179,0.1926,0.2427,True,0.1431
mosei_emotion,audio,MAE_disgust,0.1314,0.1275,0.1354,True,0.1431
mosei_emotion,audio,CCC_surprise,0.0789,0.0623,0.0947,False,0.0522
mosei_emotion,audio,MAE_surprise,0.0534,0.0515,0.0555,False,0.0522
mosei_emotion,audio,Avg_CCC,0.1711,0.1211,0.2211,True,0
mosei,video,CCC,0.141,0.1256,0.1563,True,0.8502
mosei,video,MAE,0.8226,0.8019,0.8422,True,0.8502
mosei,video,R2,0.0595,0.0422,0.0759,True,0.8502
mosei_emotion,video,CCC_happiness,0.4909,0.4711,0.5103,True,0.3904
mosei_emotion,video,MAE_happiness,0.2989,0.2918,0.3055,True,0.3904
mosei_emotion,video,CCC_sadness,0.2154,0.1993,0.2339,True,0.1455
mosei_emotion,video,MAE_sadness,0.1273,0.1241,0.131,True,0.1455
mosei_emotion,video,CCC_anger,0.1248,0.1075,0.1428,True,0.1833
mosei_emotion,video,MAE_anger,0.1807,0.1761,0.1856,True,0.1833
mosei_emotion,video,CCC_fear,0.0401,0.0289,0.0524,True,0.0511
mosei_emotion,video,MAE_fear,0.0473,0.046,0.0487,True,0.0511
mosei_emotion,video,CCC_disgust,0.1476,0.1301,0.1633,True,0.1425
mosei_emotion,video,MAE_disgust,0.1372,0.1334,0.141,True,0.1425
mosei_emotion,video,CCC_surprise,0.0385,0.0224,0.0525,False,0.0536
mosei_emotion,video,MAE_surprise,0.0554,0.0535,0.0575,False,0.0536
mosei_emotion,video,Avg_CCC,0.1762,0.1262,0.2262,True,0
fi,text,CCC_extraversion,0.1977,0.1669,0.229,True,0.1231
fi,text,MAE_extraversion,0.1152,0.1115,0.1189,True,0.1231
fi,text,CCC_neuroticism,0.2318,0.2016,0.2615,True,0.124
fi,text,MAE_neuroticism,0.1132,0.1093,0.1168,True,0.124
fi,text,CCC_agreeableness,0.1573,0.1248,0.1869,True,0.1095
fi,text,MAE_agreeableness,0.0993,0.0958,0.1027,True,0.1095
fi,text,CCC_conscientiousness,0.3129,0.2839,0.3458,True,0.127
fi,text,MAE_conscientiousness,0.1138,0.11,0.1177,True,0.127
fi,text,CCC_openness,0.1786,0.1473,0.2083,True,0.1176
fi,text,MAE_openness,0.1116,0.1078,0.1151,True,0.1176
fi,text,Avg_CCC,0.2157,0.1657,0.2657,True,0
fi,audio,CCC_extraversion,0.4792,0.4483,0.5076,True,0.1234
fi,audio,MAE_extraversion,0.1013,0.0982,0.1047,True,0.1234
fi,audio,CCC_neuroticism,0.4847,0.4544,0.5144,True,0.1247
fi,audio,MAE_neuroticism,0.1017,0.0985,0.1051,True,0.1247
fi,audio,CCC_agreeableness,0.3195,0.2821,0.3517,True,0.1095
fi,audio,MAE_agreeableness,0.0955,0.0922,0.0986,True,0.1095
fi,audio,CCC_conscientiousness,0.4918,0.4632,0.5188,True,0.128
fi,audio,MAE_conscientiousness,0.104,0.1005,0.1077,True,0.128
fi,audio,CCC_openness,0.463,0.432,0.4941,True,0.1176
fi,audio,MAE_openness,0.0981,0.0947,0.1015,True,0.1176
fi,audio,Avg_CCC,0.4476,0.3976,0.4976,True,0
fi,video,CCC_extraversion,0.4667,0.4309,0.497,True,0.1234
fi,video,MAE_extraversion,0.1041,0.1007,0.1075,True,0.1234
fi,video,CCC_neuroticism,0.4402,0.4061,0.4691,True,0.1247
fi,video,MAE_neuroticism,0.1068,0.1033,0.1103,True,0.1247
fi,video,CCC_agreeableness,0.3181,0.2801,0.3538,True,0.1095
fi,video,MAE_agreeableness,0.0972,0.0939,0.1007,True,0.1095
fi,video,CCC_conscientiousness,0.6095,0.5787,0.6339,True,0.128
fi,video,MAE_conscientiousness,0.0952,0.092,0.0986,True,0.128
fi,video,CCC_openness,0.4546,0.4216,0.4852,True,0.1176
fi,video,MAE_openness,0.1018,0.0983,0.1053,True,0.1176
fi,video,Avg_CCC,0.4578,0.4078,0.5078,True,0
