epoch,step,test/depression_acc,test/depression_auc,test/depression_auprc,test/depression_f1,test/personality_mean_mae,test/phq_mae,test/phq_pearson,test/phq_rmse,train/depression_loss,train/personality_loss,train/phq_loss,train/total_loss,val/depression_auc,val/total_loss
0,11,,,,,,,,,,,,,0.5,23.462215423583984
1,23,,,,,,,,,,,,,0.5,23.30562400817871
2,35,,,,,,,,,,,,,0.5,27.018028259277344
3,47,,,,,,,,,,,,,0.5,22.177474975585938
4,49,,,,,,,,,0.745840847492218,3.077606439590454,12.622682571411133,15.80102252960205,,
4,59,,,,,,,,,,,,,0.5,23.08245277404785
5,71,,,,,,,,,,,,,0.5,25.29002571105957
6,83,,,,,,,,,,,,,0.5,21.624624252319336
7,95,,,,,,,,,,,,,0.5,23.59551239013672
8,99,,,,,,,,,0.6934547424316406,2.8691372871398926,7.334592819213867,10.114043235778809,,
8,107,,,,,,,,,,,,,0.5,21.559494018554688
9,119,,,,,,,,,,,,,0.5,21.647932052612305
10,120,0.2195121943950653,0.5,0.2195121943950653,0.3562259078025818,1.2599742412567139,2.769044876098633,0.2037239968776703,3.02825927734375,,,,,,
