epoch,step,train_loss,val_auc,val_loss
0,11,,0.5,0.7278792262077332
1,23,,0.5,0.6933524012565613
2,35,,0.5,0.6961780190467834
3,47,,0.5,0.6928446888923645
4,49,0.7045393586158752,,
4,59,,0.5,0.694685161113739
5,71,,0.5,0.7032719850540161
6,83,,0.5,0.6953333616256714
7,95,,0.5,0.6928507685661316
8,99,0.7036746740341187,,
8,107,,0.5,0.7064621448516846
9,119,,0.5,0.6930994987487793
10,131,,0.5,0.6935340166091919
11,143,,0.5,0.6930204629898071
12,149,0.6912497282028198,,
12,155,,0.5,0.6933029890060425
13,167,,0.5,0.7062774300575256
14,179,,0.5,0.6942253708839417
15,191,,0.5,0.6942219138145447
16,199,0.696662962436676,,
16,203,,0.5,0.7005833983421326
17,215,,0.5,0.6941055059432983
18,227,,0.5,0.6954713463783264
19,239,,0.5,0.695884644985199
20,249,0.6913866996765137,,
20,251,,0.5,0.6960688233375549
21,263,,0.5,0.6929410099983215
22,275,,0.5,0.6942451000213623
23,287,,0.5,0.6959384083747864
24,299,0.722730278968811,,
24,299,,0.5,0.694909930229187
25,311,,0.5,0.6954072117805481
26,323,,0.5,0.6946883797645569
27,335,,0.5,0.6951082944869995
28,347,,0.5,0.6963701248168945
29,349,0.7188485860824585,,
29,359,,0.5,0.6965362429618835
30,371,,0.5,0.6941630840301514
31,383,,0.5,0.6928183436393738
32,395,,0.5,0.7038106918334961
33,399,0.6739980578422546,,
33,407,,0.5,0.6928402781486511
34,419,,0.5,0.6936450004577637
35,431,,0.5,0.697089672088623
36,443,,0.5,0.6931474208831787
37,449,0.6628314852714539,,
37,455,,0.5,0.6953232288360596
38,467,,0.5,0.6933243870735168
39,479,,0.5,0.6938163638114929
40,491,,0.5,0.6957475543022156
41,499,0.6819609999656677,,
41,503,,0.5,0.6929687261581421
42,515,,0.5,0.6941176652908325
43,527,,0.5,0.6972727179527283
44,539,,0.5,0.6941475868225098
45,549,0.674832820892334,,
45,551,,0.5,0.6949672102928162
46,563,,0.5,0.6942370533943176
47,575,,0.5,0.693089485168457
48,587,,0.5,0.6959319710731506
49,599,0.6917259097099304,,
49,599,,0.5,0.6928200125694275
